restaurant_id,restaurant_name,address1,city,state,zip_code,country,rating,review_count,price
136,the liberties,998 Guerrero St,San Francisco,CA,94110.0,US,3.5,357.0,$$
137,the morris,2501 Mariposa St,San Francisco,CA,94110.0,US,4.5,417.0,$$$
138,the spice jar,2500 Bryant St,San Francisco,CA,94110.0,US,4.2,465.0,$$
139,the sycamore,2140 Mission St,San Francisco,CA,94110.0,US,3.9,816.0,$$
140,tinto,1152 Valencia St,San Francisco,CA,94110.0,US,4.9,14.0,
141,true laurel,753 Alabama St,San Francisco,CA,94110.0,US,4.2,395.0,$$
142,udupi palace,1007 1/2 Valencia St,San Francisco,CA,94110.0,US,3.9,1526.0,$$
143,united dumplings,525 Cortland Ave,San Francisco,CA,94110.0,US,4.3,450.0,$$
144,valencia pizza & pasta,801 Valencia St,San Francisco,CA,94110.0,US,3.9,493.0,$$
145,vega,419 Cortland Ave,San Francisco,CA,94110.0,US,4.1,729.0,$$
146,vegan mob,701 Valencia St,San Francisco,CA,94110.0,US,3.8,58.0,$$
147,wesburger 'n' more,2240 Mission St,San Francisco,CA,94110.0,US,3.9,761.0,$$
148,wok & go,2700 24th St,San Francisco,CA,94110.0,US,3.0,203.0,$
149,yasmin,799 Valencia St,San Francisco,CA,94110.0,US,4.2,160.0,$$
150,yucatasia,2164 Mission St,San Francisco,CA,94110.0,US,4.0,80.0,$
