menu_id,menu_category,restaurant_id
507,burgers,48
508,enchiladas,48
509,desserts,48
510,nachos,48
511,sides,49
512,aguas frescas,49
513,protein choices,49
514,dinner menu,49
515,botana,49
516,chips,49
517,specials,49
518,mex bottle soda,49
519,jarritos,49
520,postres,49
521,can soda,49
522,small plates,50
523,bebidas,50
524,còctel,50
525,postre,50
526,cerveza,50
527,brunch,50
528,bocaditos,50
529,chicharrones de carne,50
530,vino,50
531,specials,51
532,drinks,51
533,favorites,51
534,appetizers,51
535,a la carte,51
536,sizzling fajitas,51
537,salads and burritos,51
538,enchiladas and combinations,51
539,seafood,51
540,desserts,51
541,soups,51
542,sides / salad/ pasta additions,52
543,salads,52
544,cocktails,52
545,appetizers,52
546,mocktails /na,52
547,desserts,52
548,wine red,52
549,entrees,52
550,beer,52
551,non-alcoholic,53
552,cocktails,53
553,raw bar,53
554,salads & vegetables,53
555,meat & seafood,53
556,snacks,53
557,white,53
558,sparkling,53
559,Desserts,53
560,rosé + orange,53
561,beer & sake,53
562,tapas - pescados y mariscos,54
563,desserts,54
564,tapas - aves y carnes,54
565,dinner combination plates ( monday to friday only) starts @ 3:00 pm,54
566,lunch combination plates ( monday to friday only) ends @ 3:00 pm,54
567,ensaladas у tapas vegetarianas,54
568,sherry (must be 21 to purchase),54
569,tapas - embutidos y quesos,54
570,beer (must be 21 to purchase),54
571,soups,54
572,"meat, seafood and vegetables",54
573,beverages,54
574,peallas,54
575,cava (must be 21 to purchase),54
576,cheese,55
577,flammenkueche,55
578,tapas,55
579,dessert,55
580,charcuterie boards,55
581,entrees,55
582,starters,55
583,to start,56
584,pasta,56
585,pizza,56
586,bread,56
587,entree,56
588,ii,57
589,i,57
590,iii,57
591,if you cheese,57
592,maybe...,57
593,iv,57
594,main features,58
595,oysters*,58
596,premieres,58
597,shellfish,58
598,urban picnic,58
599,caviar*,58
600,raw bar,59
601,soft drinks & sparkling waters,59
602,beer,59
603,main,59
604,share,59
605,n/a beverages,59
606,cider,59
607,utensils,59
608,breakfast - juices,60
609,breakfast - cold drinks,60
610,breakfast - sandwiches & burgers,60
611,breakfast - specialties,60
612,breakfast - scrambles,60
613,breakfast - benedicts,60
614,breakfast - beverages,60
615,breakfast - sides,60
616,breakfast - salads,60
617,breakfast - kid's menu,60
618,breakfast - omelets,60
619,breakfast - two eggs,60
620,beverages,61
621,breakfast,61
622,menu,61
623,appetizers,61
624,small bites & appetizer,62
625,boba milk tea & drinks,62
626,curry rice,62
627,soup,62
628,dessert,62
629,salads,62
630,special ramen,62
631,ramen,62
632,beer & sake,62
633,teriyaki,62
634,teppan curry rice,62
635,teppan curry ramen,62
636,canned drinks,63
637,pork,63
638,house sauces,63
639,bottled drinks,63
640,"duck (half a duck, deboned)",63
641,stir fry noodles,63
642,specialty drinks,63
643,sparkling water,63
644,"poached free range chicken (half a chicken, deboned)",63
645,sides,63
646,wine by the glass,64
647,shop,64
648,house cocktails,64
649,beer & sake,64
650,boozy teapots,64
651,sides,65
652,gyro wraps & more,65
653,salads,65
654,soups,65
655,beverages,65
656,starters,65
657,desserts,65
658,burgers,65
659,gyro plates & more,65
660,tacos,65
661,gyros wraps & more with fries and gyro sauce,65
662,bowls,65
663,vegan wraps & plate options,65
664,side proteins,65
665,beer,66
666,handroll,66
667,small plates,66
668,non-alcoholic,66
669,sake,66
670,Burgers,67
671,sides,67
672,desserts,67
673,Desserts,67
674,soups,67
675,beverages,67
676,Dips,67
677,Fries Bowls,67
678,gluten free,67
679,keto,67
680,new items,67
681,mediterranean,67
682,paleo,67
683,vegan,67
684,"sonoma, mendocino & santa cruz mountains",68
685,"qupé, santa maria valley",68
686,"luigi ferrando, ivrea",68
687,greece,68
688,savoie,68
689,trentino & valtellina,68
690,rhone & southern france,68
691,tuscany & abruzzo,68
692,in-house menu,68
693,a la carte,68
694,alcohol,69
695,basic roll,69
696,desserts,69
697,entrees,69
698,smoothies,69
699,noodle,69
700,Vegan Sushi,69
701,western,69
702,rice plate/clay pot,69
703,food &amp; alcohol combos,69
704,appetizer,69
705,beverages,69
706,salad,69
707,soup,69
708,side orders,69
709,appetizer,70
710,beef,70
711,chicken,70
712,beverages,70
713,chop suey,70
714,egg foo young,70
715,seafood,70
716,fried rice,70
717,hamburger,70
718,j&e special,70
719,noodle,70
720,pork,70
721,rice plate,70
722,"soup, wonton and noodle soup",70
723,drinks,71
724,cheesesteaks,71
725,burgers & dogs,71
726,sandwiches,71
727,dessert,71
728,salads,71
729,sides,71
730,croissants,72
731,french macarons,72
732,café auscones & biscuits lait,72
733,biscotti,72
734,biscuits,72
735,quiche,72
736,muffins,72
737,biscuit sandwiches,72
738,scones & biscuits,72
739,christmas,72
740,salads,72
741,cakes,72
742,thanksgiving,72
743,"cookies, brownies, and bars",72
744,halloween,72
745,quick breads,72
746,cinnamon roll,72
747,specialty,72
748,dog biscuits,72
749,financiers  (bag of 3),72
750,granola parfait,72
751,holidays,72
752,easter,72
753,saint patrick’s day,72
754,mardi gras,72
755,tarts,72
756,mini cream puffs,72
757,mini eclairs,72
758,granolas,72
759,memorial day/fourth of july,72
760,special roll,73
761,japon tapas,73
762,Fresh Catch,73
763,from the kitchen,73
764,simple maki,73
765,noodle & don (over rice),73
766,soda,73
767,salad,73
768,extra sauce,73
769,sushi & sashimi,73
770,small sashimi don,73
771,side,73
772,sake,73
773,beer,73
774,sides,74
775,utensils,74
776,beverages,74
777,desserts,74
778,garnish sides,74
779,snacks,74
780,build-your-own bowl,74
781,small plates,74
782,salads,74
783,alcoholic beverages,74
784,sipping broth,74
785,specials,74
786,signature bowls,74
787,location,74
788,dessert,75
789,main plates,75
790,salad,75
791,beverage,75
792,sides,75
793,appetizer,75
794,main bowl,75
795,soup,75
796,omakase sashimi,76
797,sushi rolls (with hand roll options),76
798,soba noodle soup,76
799,udon noodle soup,76
800,omakase nigiri,76
801,entrée,76
802,nigiri sushi (2 pieces per order),76
803,sashimi (5 pieces per order),76
804,fresh raw tastings,76
805,skewers (2 per order),76
806,"salad, tofu and greens",76
807,kitchen appetizers,76
808,sides and more,76
809,drinks,76
810,deluxe sushi rolls,76
811,sashimi don,76
812,dessert,76
813,donburi,76
814,ramen noodle,76
815,bento sets,76
816,family meals,77
817,hand-breaded chicken,77
818,sides,77
819,honey butter shrimp,77
820,hand-breaded tenders,77
821,wings,77
822,bebidas,78
823,jugos naturales,78
824,burritos,78
825,tacos,78
826,guisados,78
827,desayunos,78
828,sopas,78
829,platillos,78
830,pupusas,78
831,tamales,78
832,quesadilla,78
833,tortas,78
834,a la carte - tacos,79
835,pupusas,79
836,plates - seafood,79
837,plates - enchiladas,79
838,desserts,79
839,appetizers,79
840,quesadillas,79
841,burritos,79
842,tamales oaxaquenos,79
843,tlayudas,79
844,a la carte - tortas,79
845,pachanga trays,80
846,order by tray,80
847,catering,81
848,sides,81
849,street foods | bowls,81
850,street foods | burritos,81
851,chimichanga,81
852,enchiladas,81
853,street foods | quesadillas,81
854,salads,81
855,tacos | traditional,81
856,street foods | tortas,81
857,tostadas,81
858,appetizers,81
859,entrees,81
860,tacos | international,81
861,drinks,81
862,desserts,81
863,kids,81
864,tacos,82
865,drinks,82
866,burritos,82
867,Birria Plates,82
868,birria plates,82
869,fries quesadillas nachos,82
870,starters and sides,82
871,sides,82
872,mesquite charcoal grilled fajitas,82
873,mesquite charcoal grill plates,82
874,Mesquite grilled Fajitas,82
875,dinner,83
876,SUMMER FRUITS,83
877,SEAFOOD TOWER,83
878,TREATS,83
879,sides,84
880,soups,84
881,sodas,84
882,entrées,84
883,aguas frescas,84
884,featured items,84
885,tortas,84
886,antojitos,85
887,traditional favorites,85
888,desayuno,85
889,del huerto (vegan),85
890,kids,85
891,cocktails,86
892,cans,86
893,taps,86
894,the grub,86
895,,86
896,mains,86
897,vino,86
898,dolci,87
899,neapolitan 5 star gourmet thin crust pizza,87
900,antipasti & insalate,87
901,red wines,87
902,spumanti (sparklers) & bellini,87
903,pasta fatta in casa,87
904,pasta,87
905,secondi,87
906,bottle beer,87
907,soft drinks,87
908,white wines & rose,87
909,sides,88
910,chicken,88
911,cold beverages,88
912,breakfast,88
913,bagels,88
914,beef,88
915,pork,88
916,seafood,88
917,desserts,88
918,hot beverages,88
919,appetizers,88
920,burritos,88
921,tortas,88
922,beer - cans & bottles,89
923,n/a beverages - zero proof,89
924,brunch - snacks & sides,89
925,brunch - brunch drinks,89
926,beer - drafts,89
927,brunch - mains,89
928,wine - bubbles,89
929,dinner - snacks & sides,89
930,dinner - mains,89
931,cocktails,89
932,n/a beverages,89
933,wine - white,89
934,dinner - dessert,89
935,vegetarian specials - individual combo meal plan,90
936,vegetarian specials - family style catering,90
937,rice & biryani - family style catering,90
938,sides dishes - rice & biryani - individual combo meal plan,90
939,chicken dishes - individual combo meal plan,90
940,bread - family style catering,90
941,sides dishes - bread - individual combo meal plan,90
942,chicken dishes - family style catering,90
943,himalayan specialities - family style catering,90
944,himalayan specialities - individual combo meal plan,90
945,appetizers - family style catering,90
946,tandoori specials - individual combo meal plan,90
947,catering tandoori specials - family style catering,90
948,lamb dishes - individual combo meal plan,90
949,dessert - family style catering,90
950,dessert - individual combo meal plan,90
951,lamb dishes - family style catering,90
952,seafood dishes - individual combo meal plan,90
953,seafood dishes - family style catering,90
954,appetizers - individual combo meal plan,90
955,classic rolls,91
956,starters,91
957,specialty spicy rolls,91
958,nigiri,91
959,classic maki,91
960,vegetarian nigiri,91
961,entrées,91
962,veggie rolls,91
963,sashimi,91
964,extras,91
965,small plates,91
966,specialty rolls,91
967,antipasti & specialities,92
968,sandwiches,92
969,breakfast,92
970,main dishes,92
971,salads,92
972,pizza tarte flambee,92
973,SWISS CHEESE FONDUE,92
974,pasta classica,93
975,desserts,93
976,soups & salads,93
977,steaks & plates,93
978,grandma lasagna,93
979,appetizers,93
980,beverages,93
981,pasta pairs,93
982,gourmet pizza,93
983,additional services - bay area delivery fees,94
984,meal boxes,94
985,special dishes,94
986,full-service catering,94
987,cocktail hour menu,94
988,wedding service - sample menu - appetizers,94
989,wedding service - sample menu - mains,94
990,let's share,95
991,ramen & japanese noodle,95
992,thai noodle,95
993,beverages,95
994,mediterranean delights,96
995,sides,96
996,salads and soup,96
997,desserts,96
998,sandwiches,96
999,our kitchen entrees,96
1000,beverages,96
1001,pasta,97
1002,pesci crudi,97
1003,antipasti,97
1004,secondi,97
1005,pane,97
1006,contorni,97
1007,sake cocktails,98
1008,mediterranean drinks,98
1009,salads,98
1010,petra wraps,98
1011,starters,98
1012,desserts,98
1013,sides,98
1014,plates served with basmati rice,98
1015,white,98
1016,bottles,98
1017,draft beer,98
1018,from the grill,98
1019,soft drinks,98
1020,red,98
1021,from the oven,98
1022,starters/ appetizers,98
1023,starters,99
1024,banh mi sandwiches,99
1025,special side order,99
1026,pho noodle soup,99
1027,salad,99
1028,pho day entrée,99
1029,soft drinks & juice,99
1030,coffee & boba,99
1031,lunch bentos & more,100
1032,sides & utensils,100
1033,sweet tofu pockets,101
1034,vegan sancha sushi rolls,101
1035,plant based tuna by impact food. vegan menu,101
1036,non-vegan menu,101
1037,cold sake,101
1038,japanese classic vegan menu,101
1039,hot sake,101
1040,beer,101
1041,soft drink,101
1042,desserts,102
1043,hot drinks,102
1044,sandwiches,102
1045,cold drinks,102
1046,grab n go,102
1047,juices,102
1048,breakfast,102
1049,kids,102
1050,retail items,102
1051,salads,102
1052,smoothies,102
1053,retail coffee,102
1054,burgers,102
1055,pizzas,102
1056,mixed drinks,102
1057,paper cups,102
1058,sides & sauces,103
1059,a la carte,103
1060,margaritas (must be 21 to purchase and order with meal).,104
1061,"especiales de la casa - poblana thursdays, milanesa fridays!",104
1062,carnes - milanesa friday!,104
1063,cervezas (must be 21 to purchase),104
1064,burritos y suizas - burrito wednesdays!,104
1065,ensaladas,104
1066,combos,104
1067,appetizers and platters,104
1068,postre,104
1069,combo mix,104
1070,breakfast,104
1071,beverages,104
1072,michelada (must be 21 to purchase),104
1073,sangria (must be 21 to purchase),104
1074,rice plate,105
1075,chef's specials,105
1076,vietnamese style rice plates,105
1077,appetizers,105
1078,pho - vietnamese noodle soup,105
1079,chow mein or chow fun,105
1080,felicia's combination plates,105
1081,fried rice,105
1082,soup,105
1083,chop suey with rice,105
1084,wonton soup,105
1085,egg foo yung with rice,105
1086,noodles or fun soup,105
1087,vegetarian,105
1088,beef,105
1089,chicken,105
1090,soda,105
1091,vietnamese grilled plate,105
1092,pork,105
1093,seafood,105
1094,food,106
1095,wine,106
1096,sodas,106
1097,beer,106
1098,plates,107
1099,ramen,107
1100,apps,107
1101,common,108
1102,dinner,108
1103,lunch,108
1104,drinks,108
1105,appetizers,108
1106,extra,108
1107,sides,108
1108,dessert,108
1109,signature,109
1110,let’s drink,109
1111,side dish,109
1112,benedict,109
